filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	arid5b_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	filename9	filename10	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_D01	10	22	.23075021	.76924979	1	0	1	AY004	k5	2020	519.85869	0	1	.99999845	1.517e-06	4	24	2	1	1	4157.4155	928798.83	0	0	1.366e+09	6668.8377	16581.062	3872.014	1187167.4	0	0	1.282e+09	6261.9097	14362.311	4091.1514	930623.17	0	0	1.370e+09	6688.0063	16666.005	3938.7303	1183757.9	0	0	1.258e+09	6144.6832	14142.077	11/30/2021 11:19	4157.4155	928798.83	1187167.4	5	ABs	CD15	arid5b	210629	W	D01	1	0	0	1	1	1	8	157.21468	-127009.67	-179324.38	-2790.56	-71.56	-3494.5105	.65971933	.65971933	-.84837993	-2.3481302	-.6020065	-2.3481302	-2.3481302	-1.906358
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_D03	10	22	.90630366	.09369634	0	1	0	AY020	k5	4445	2520.0602	42	0	.20511025	.79488975	4	42	2	2	1	4015.1688	968695.07	0	0	1.281e+09	6254.5461	15275.215	3977.4396	1295042.7	0	0	1.324e+09	6463.9885	14087.448	4069.812	968724.98	0	0	1.307e+09	6382.9526	15454.803	3966.6688	1295401.6	0	0	1.326e+09	6476.4459	14085.499	11/30/2021 11:19	4015.1688	968695.07	1295042.7	1	ABs	CD15	arid5b	210629	W	D03	1	0	0	1	1	1	8	14.967901	-35774.435	6869.4113	-365.56	-29.56	-1494.309	.28768888	.28768888	-.38786869	-.6020065	.04731252	.04731252	-.43939223	-.33735533
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_D04	10	22	.03752411	.96247589	1	0	1	AY028	k5	5024	4833.4034	86	0	.009233	.990767	4	36	2	2	2	4130.8217	1062573.9	0	0	1.499e+09	7321.4659	16778.593	3909.9268	1433483.3	0	0	1.560e+09	7616.3457	15560.177	4066.8164	1100974.7	0	0	1.513e+09	7389.4978	16664.238	3935.0117	1423105.5	0	0	1.542e+09	7530.6468	15457.365	11/30/2021 11:19	4130.8217	1062573.9	1433483.3	5	ABs	CD15	arid5b	210629	W	D04	1	0	0	1	1	1	8	130.62082	16363.477	81633.626	213.44	14.44	819.0342	.4921101	.4921101	.84837993	.23872252	1.0735624	.84837993	-.04731252	.19032227
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_E01	10	21	.75622112	.24377888	1	0		AY005	k5	3415	1210.6655	0	1	.99999762	2.384e-06	4	25	2	2	1	3860.4921	873350.83	0	0	1.349e+09	6585.0401	16884.182	3833.7615	1137222.3	0	0	1.322e+09	6453.4872	14993.806	4018.6234	890726.93	0	0	1.404e+09	6856.4557	17285.443	3824.0916	1140362.5	0	0	1.321e+09	6450.8476	14976.065	11/30/2021 11:19	3860.4921	873350.83	1137222.3		ABs	CD15	arid5b	210629	W	E01	1	0	0	1	1	1	8	-139.70879	-75293.536	-65788.923	-1395.56	-71.56	-2803.7037	-.54623318	-.54623318	-1.5059677	-1.3728103	-1.2603388	-.84837993	-1.1618829	-.84837993
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_E02	10	21	.13205063	.86794937	1	0	1	AY013	k5	5648	4995.6926	27	0	.11885913	.88114083	4	19	2	2	2	4239.4242	1028898.3	0	0	1.561e+09	7623.0557	17782.335	4124.6123	1329316.4	0	0	1.532e+09	7481.0862	15897.465	4206.2687	1009159.5	1	12	1.546e+09	7546.6578	17743.177	4113.2126	1342385.9	0	0	1.536e+09	7498.1542	15833.111	11/30/2021 11:19	4239.4242	1028898.3	1329316.4	5	ABs	CD15	arid5b	210629	W	E02	1	0	0	1	1	1	8	239.22338	-56508.354	-82327.789	837.44	-44.56	981.32338	1.0735624	1.0735624	.38786869	-.91824509	.38786869	-.91824509	.28768888	.6020065
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_E03	10	21	.95505524	.04494476	0	1	0	AY021	k5	4557	5295.0914	144	0	.03376504	.96623492	4	39	2	2	2	3969.4612	956463.01	0	0	1.290e+09	6296.971	15434.413	3758.3206	1208281.9	0	0	1.294e+09	6319.4765	14244.81	3987.9338	920215.45	0	0	1.281e+09	6256.552	15557.944	3748.3923	1215130.6	0	0	1.320e+09	6447.0985	14416.699	11/30/2021 11:19	3969.4612	956463.01	1208281.9	1	ABs	CD15	arid5b	210629	W	E03	1	0	0	1	1	1	8	-30.73965	-31509.95	-54725.728	-253.56	72.44	1280.7222	-.04731252	-.04731252	-.54623318	-.54623318	-.38786869	-.65971933	-.28768888	-.14236406
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_E04	10	22	.93559646	.06440354	0	1	0	AY029	k5	4241	1163.8138	0	1	.99999928	7.601e-07	4	15	2	1	1	3952.064	976680.3	0	0	1.325e+09	6470.635	15691.901	3774.5826	1228768.3	0	0	1.356e+09	6620.6853	14823.476	3962.9764	993547.97	0	0	1.366e+09	6668.7555	15941.012	3760.1504	1237650.8	0	0	1.363e+09	6654.1764	14836.911	11/30/2021 11:19	3952.064	976680.3	1228768.3	1	ABs	CD15	arid5b	210629	W	E04	1	0	0	1	1	1	8	-48.136868	-5013.748	-24660.694	-569.56	-71.56	-2850.5554	-.14236406	-.14236406	-.28768888	-.14236406	-.28768888	-.28768888	-.4921101	-.38786869
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_F01	10	22	.07348855	.92651145	1	0	1	AY006	k5	4478	5761.1542	168	0	.00932962	.99067032	4	35	2	3	2	4293.944	1058087.8	0	0	1.469e+09	7175.0115	16591.881	4093.0954	1376958.6	0	0	1.475e+09	7204.3365	15136.546	4328.9569	1056233.5	0	0	1.477e+09	7212.5903	16582.117	4102.616	1361616.2	0	0	1.464e+09	7147.6749	15170.869	11/30/2021 11:19	4293.944	1058087.8	1376958.6	5	ABs	CD15	arid5b	210629	W	F01	1	0	0	1	1	1	8	293.7431	-46995.884	-64703.116	-332.56	96.44	1746.785	1.2603388	1.2603388	.7824294	-.7824294	.54623318	-.7824294	-.38786869	-.28768888
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_F02	10	22	.93649856	.06350144	0	1	0	AY014	k5	3753	5906.7993	179	0	.05430334	.94569659	4	37	2	3	2	4003.054	934780.27	0	0	1.254e+09	6122.0183	15240.634	3742.0679	1155555.4	0	0	1.210e+09	5909.493	13817.894	3954.1937	902480.47	0	0	1.228e+09	5997.5726	15242.07	3737.0934	1172393.2	0	0	1.231e+09	6012.1355	13870.367	11/30/2021 11:19	4003.054	934780.27	1155555.4	1	ABs	CD15	arid5b	210629	W	F02	1	0	0	1	1	1	8	2.8531628	-65316.839	-125947.74	-1057.56	107.44	1892.4301	.04731252	.04731252	-.7824294	-1.1618829	-1.0735624	-1.5059677	-.7824294	-.54623318
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_F03	10	22	.11104583	.88895417	1	0	1	AY022	k5	2401	732.64734	0	1	.99999404	5.917e-06	4	43	2	1	1	3604.7194	820175.78	0	0	1.192e+09	5819.1623	15593.256	3492.9176	968396	0	0	1.110e+09	5417.8809	13840.558	3579.8389	846494.14	0	0	1.207e+09	5894.0996	15626.7	3492.665	977727.05	0	0	1.172e+09	5723.9656	14426.132	11/30/2021 11:19	3604.7194	820175.78	968396	5	ABs	CD15	arid5b	210629	W	F03	1	0	0	1	1	1	8	-395.48145	-36156.397	-93791.565	-2409.56	-71.56	-3281.7219	-1.906358	-1.906358	-1.906358	-.65971933	-2.3481302	-1.2603388	-1.6729374	-1.5059677
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_F04	10	22	.18067906	.81932094	1	0	1	AY030	k5	4704	1106.7712	0	1	.99999464	5.322e-06	4	14	2	1	1	3863.1677	1029735.7	0	0	1.518e+09	7411.4953	17298.651	3870.6157	1174426.9	0	0	1.414e+09	6903.353	15536.679	3852.0541	983170.17	0	0	1.484e+09	7248.0376	17358.731	3871.6973	1185343	0	0	1.431e+09	6987.1046	15604.442	11/30/2021 11:19	3863.1677	1029735.7	1174426.9	5	ABs	CD15	arid5b	210629	W	F04	1	0	0	1	1	1	8	-137.03313	80125.666	-30057.503	-106.56	-71.56	-2907.598	-.4921101	-.4921101	.43939223	1.3728103	-.91824509	-.33735533	-.19032227	.04731252
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_G01	10	21	.32509753	.67490247	1	0	1	AY007	k5	6839	6792.7098	124	0	.0924693	.90753073	4	33	2	3	2	4011.7223	1007514.6	0	0	1.474e+09	7195.9879	17066.948	3940.4763	1375882	0	0	1.510e+09	7370.8821	15617.28	4131.104	1033354.5	0	0	1.496e+09	7304.9382	17079.196	3945.1526	1365863	0	0	1.491e+09	7279.2576	15502.304	11/30/2021 11:19	4011.7223	1007514.6	1375882	5	ABs	CD15	arid5b	210629	W	G01	1	0	0	1	1	1	8	11.521463	4289.016	89606.189	2028.44	52.44	2778.3406	.23872252	.23872252	.14236406	.09473124	.4921101	1.1618829	.91824509	1.0735624
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_G02	10	21	.01324412	.98675588	1	0	1	AY015	k5	7587	7747.3261	125	0	.00472865	.99527138	4	23	2	3	2	4004.9326	1045885.6	0	0	1.495e+09	7298.161	16921.716	3889.1465	1392839.4	0	0	1.526e+09	7450.1039	15595.224	3873.7438	1038737.8	0	0	1.469e+09	7173.9768	16769.328	3894.5026	1398252.6	0	0	1.538e+09	7511.924	15619.303	11/30/2021 11:19	4004.9326	1045885.6	1392839.4	5	ABs	CD15	arid5b	210629	W	G02	1	0	0	1	1	1	8	4.7317043	45110.513	110301.9	2776.44	53.44	3732.9569	.09473124	.09473124	.65971933	.84837993	.7824294	1.3728103	1.2603388	1.906358
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_H01	10	22	.96704479	.03295521	0	1	0	AY008	k5	5977	6145.4464	120	0	.05957441	.94042552	4	40	2	3	2	4169.4297	1096159.7	0	0	1.544e+09	7538.0017	17020.006	3929.1361	1417512.8	0	0	1.588e+09	7753.0185	15963.157	4164.9513	1134261.5	0	0	1.538e+09	7511.6575	16788.226	3971.5326	1411052.9	0	0	1.578e+09	7704.7876	15936.395	11/30/2021 11:19	4169.4297	1096159.7	1417512.8	1	ABs	CD15	arid5b	210629	W	H01	1	0	0	1	1	1	8	169.2288	36015.093	44406.334	1166.44	48.44	2131.0772	.91824509	.91824509	1.2603388	.6020065	.91824509	.4921101	.38786869	.7824294
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_H02	10	22	0	1				AY016	k5	3766	800.12698	0	1	.99999952	4.583e-07	4	29	2	1	1	3795.9783	924761.35	0	0	1.270e+09	6199.2081	15441.499	3601.2456	1082342.5	0	0	1.241e+09	6061.3525	14402.911	3836.2297	945935.67	0	0	1.290e+09	6297.5213	15538.959	3593.2351	1099120.5	0	0	1.248e+09	6094.3817	14335.379	11/30/2021 11:19	3795.9783	924761.35	1082342.5		ABs	CD15	arid5b	210629	W	H02	1	0	0	1	1	1	8	-204.22256	-599.02688	-85148.607	-1044.56	-71.56	-3214.2422	-1.0735624	-1.0735624	-.99290815	0	-1.5059677	-.99290815	-.71971886	-.4921101
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1200_W_H03	10	22	.27044952	.72955048	1	0	1	AY024	k5	2280	829.4258	0	1	.99980146	.00019854	4	20	2	1	1	3647.8571	884027.71	0	0	1.268e+09	6193.7234	15916.623	3633.4278	977577.51	0	0	1.303e+09	6361.9935	15698.548	3626.1153	1030214.2	0	0	1.267e+09	6186.046	15115.534	3637.9069	1022797.2	0	0	1.294e+09	6317.5403	15399.971	11/30/2021 11:19	3647.8571	884027.71	977577.51	5	ABs	CD15	arid5b	210629	W	H03	1	0	0	1	1	1	8	-352.34374	12126.488	-108360.86	-2530.56	-71.56	-3184.9434	-1.6729374	-1.6729374	-1.2603388	.19032227	-1.906358	-1.3728103	-1.906358	-1.6729374
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_A06	10	21	1	0				AY038	k5	3684	777.01604	0	1	.99999821	1.803e-06	7	51	3	1	1	3835.0016	873829.35	0	0	1.284e+09	6268.2872	16149.771	3918.6179	1199160.2	0	0	1.279e+09	6244.1892	14127.057	4021.1715	874666.75	0	0	1.318e+09	6437.6692	16483.082	3927.3089	1200565.8	0	0	1.271e+09	6207.9177	14061.854	11/30/2021 11:19	3835.0016	873829.35	1199160.2		ABs	CD15	arid5b	210629	W	A06	1	0	0	1	1	1	8	-165.19923	-65615.139	10183.502	-1422	-132.5	-4943.4383	-.65971933	-.65971933	-1.3728103	-1.2603388	-.4921101	.14236406	-.91824509	-.91824509
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_A08	10	21	.97557551	.02442449	0	1	0	AY054	k5	6798	4353.2968	55	0	.04274997	.95725006	7	46	3	2	2	4008.8325	1085243.5	0	0	1.468e+09	7167.5594	16452.194	4021.6735	1399777.8	0	0	1.521e+09	7425.6523	15567.368	4014.692	1092361.5	0	0	1.470e+09	7176.8007	16387.152	4015.4071	1409766.8	0	0	1.537e+09	7503.8369	15575.063	11/30/2021 11:19	4008.8325	1085243.5	1399777.8	1	ABs	CD15	arid5b	210629	W	A08	1	0	0	1	1	1	8	8.6316254	83060.884	115093.15	1692	-77.5	-1367.1576	.19032227	.19032227	1.1618829	1.5059677	.84837993	1.5059677	.7824294	.99290815
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_B05	10	22	.17030669	.82969331	1	0	1	AY032	k5	7650	8632.5361	127	0	.06317719	.93682277	7	50	3	3	2	4008.728	1033533.9	0	0	1.638e+09	7996.683	18599.72	4030.7693	1422896.1	0	0	1.628e+09	7949.5167	16273.687	3970.8548	1041818.2	0	0	1.633e+09	7975.9057	18477.523	4025.2378	1432825.3	0	0	1.642e+09	8017.1838	16353.702	11/30/2021 11:19	4008.728	1033533.9	1422896.1	5	ABs	CD15	arid5b	210629	W	B05	1	0	0	1	1	1	8	8.5271794	31388.985	138268.95	2544	-5.5	2912.0817	.14236406	.14236406	.4921101	.43939223	.99290815	1.906358	1.3728103	1.3728103
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_B08	10	22	.9725176	.0274824	0	1	0	AY055	k5	5076	4264.56	33	0	.03669908	.96330088	7	65	3	2	2	3976.6274	1066073	0	0	1.417e+09	6917.7653	15905.729	3862.3354	1280388.2	0	0	1.418e+09	6923.3633	14980.511	4047.3221	1048248.3	0	0	1.420e+09	6931.7803	16050.825	3890.3152	1286250	0	0	1.418e+09	6922.1531	14990.24	11/30/2021 11:19	3976.6274	1066073	1280388.2	1	ABs	CD15	arid5b	210629	W	B08	1	0	0	1	1	1	8	-23.573438	75513.642	13435.012	-30	-99.5	-1455.8944	0	0	.91824509	1.2603388	-.04731252	.23872252	.04731252	.14236406
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_C05	10	21	.94625229	.05374771	0	1	0	AY033	k5	4992	3450.8391	62	0	.03237019	.96762979	7	56	3	2	1	3912.0068	924910.89	0	0	1.227e+09	5991.9347	15065.835	3671.6863	1181634.5	0	0	1.243e+09	6067.3303	14022.365	3938.5974	927243.65	0	0	1.233e+09	6022.4413	15110.649	3671.5031	1182382.2	0	0	1.243e+09	6068.1259	14035.099	11/30/2021 11:19	3912.0068	924910.89	1181634.5	1	ABs	CD15	arid5b	210629	W	C05	1	0	0	1	1	1	8	-88.194089	-42325.905	-49739.725	-114	-70.5	-2269.6153	-.23872252	-.23872252	-.91824509	-.71971886	-.7824294	-.54623318	-.09473124	0
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_C06	10	21	1	0				AY040	k5	5988	5399.2336	80	0	.00799515	.99200481	7	48	3	2	2	4145.3269	1022109.4	0	0	1.514e+09	7394.7697	17473.634	3965.2209	1361496.6	0	0	1.476e+09	7205.7123	15387.557	4011.5173	1007843.6	0	0	1.460e+09	7127.2002	17092.459	3970.8548	1342266.2	0	0	1.448e+09	7069.3931	15251.911	11/30/2021 11:19	4145.3269	1022109.4	1361496.6		ABs	CD15	arid5b	210629	W	C06	1	0	0	1	1	1	8	145.12607	-29336.163	1660.6111	882	-52.5	-321.22078	.54623318	.54623318	.33735533	-.4921101	.43939223	-.04731252	.43939223	.65971933
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_C08	10	21	.97919429	.02080571	0	1	0	AY056	k5	7543	7303.1807	116	0	.03658286	.96341717	7	49	3	3	2	4168.6693	1097535.4	0	0	1.561e+09	7622.3273	17222.519	4039.7298	1454956.7	0	0	1.619e+09	7902.8671	16121.6	4304.2815	1125648.2	0	0	1.588e+09	7751.8145	17242.712	4049.3721	1453521.1	0	0	1.600e+09	7812.1192	16005.364	11/30/2021 11:19	4168.6693	1097535.4	1454956.7	1	ABs	CD15	arid5b	210629	W	C08	1	0	0	1	1	1	8	168.46839	37665.267	82268.846	2437	-16.5	1582.7263	.84837993	.84837993	1.3728103	.65971933	1.3728103	.91824509	1.1618829	1.2603388
ABs_CD15_08dpf_vast01_plate01_arid5b_210629_1500_W_D05	10	22	.96115288	.03884712	0	1	0	AY034	k5	7712	8538.9815	189	0	.00245792	.99754214	7	60	3	3	2	4152.3697	1045556.6	0	0	1.575e+09	7692.8432	17831.499	3956.6624	1390267.3	0	0	1.520e+09	7423.8307	15645.209	4082.985	1032846.1	0	0	1.524e+09	7440.2077	17429.011	3966.6688	1383538.2	0	0	1.520e+09	7423.7273	15709.203	11/30/2021 11:19	4152.3697	1045556.6	1390267.3	1	ABs	CD15	arid5b	210629	W	D05	1	0	0	1	1	1	8	152.16883	-8430.7367	26553.749	2606	56.5	2818.5272	.6020065	.6020065	.6020065	-.19032227	.71971886	.38786869	1.5059677	1.6729374
