filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	agrp_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_D02	1.9666667	210908	1	8	16	NS016	14.034291	1	08-sep-2021 09:58:26	4058	182879.19	238	.53333333	2	2	D02	3917.221	935139.16	1	8	1.315e+09	6422.8499	15868.518	3947.6118	1336673.6	1	2	1.388e+09	6775.0474	14532.304	3840.7799	972403.56	1	12	1.358e+09	6630.833	16027.562	3856.8687	1307723.4	1	14	1.381e+09	6743.927	14604.083	9/8/2021 11:58	3917.221	935139.16	1336673.6	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-82.860619	-43347.036	26267.294	-176.51852	-133.28205	-275625.46	-.20237619	-.20237619	-.47880765	-.90036784	.0354786	.25090599	-.78503605	-.20465992
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_D03	1.9333333	210908	1	8	17	NS015	13.937063	1	08-sep-2021 09:56:28	4269	69963.798	67	.5	1	1	D03	3703.3776	934600.83	0	0	1.338e+09	6534.2916	16209.921	3757.3138	1303656	0	0	1.328e+09	6482.0925	14727.8	3702.6022	935886.84	0	0	1.320e+09	6444.2435	16076.385	3768.6394	1314093.6	0	0	1.353e+09	6605.6119	14814.72	9/8/2021 11:56	3703.3776	934600.83	1303656	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-296.70404	23313.073	96179.6	34.481481	-275.24446	-368421.95	-1.1389668	-1.1389668	-.53255794	.47880765	-.27538708	1.3430824	-.44314942	-.02258416
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_D04	1.9	210908	1	8	18	NS014	14.131519	1	08-sep-2021 09:54:41	4556	106114.63	151	.46666667	2	1	D04	4025.3158	985981.45	0	0	1.398e+09	6825.0439	16493.726	3867.7635	1325129.4	0	0	1.361e+09	6644.0424	14794.965	4163.1558	1006946.4	0	0	1.399e+09	6828.7518	16412.166	3790.7314	1332038	0	0	1.375e+09	6712.9846	14854.022	9/8/2021 11:54	4025.3158	985981.45	1325129.4	1	4	AB	CD15	AGRP	1	0	0	2	1	8	25.234159	-25600.304	-37306.474	321.48148	-119.40073	-275482.03	.20237619	.20237619	-.05915307	-.53255794	-.05915307	-.56001135	-.22777673	.27439149
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_D05	1.8666667	210908	1	8	18	NS013	11.506362	1	08-sep-2021 09:52:43	3753	188997.79	198	.43333333	2	2	D05	3853.4941	861806.64	0	0	1.252e+09	6111.6365	15833.878	3599.6216	1203706.1	0	0	1.223e+09	5970.2323	13926.586	3701.548	851548.46	0	0	1.211e+09	5911.281	15552.916	3598.9403	1188483.3	0	0	1.217e+09	5942.3305	13988.308	9/8/2021 11:52	3853.4941	861806.64	1203706.1	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-146.58755	-93092.457	-76026.362	-481.51852	-72.40073	-192598.87	-.53255794	-.53255794	-1.7229053	-1.5437805	-1.052756	-1.0948442	-1.2127505	-.4682027
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_E01	2.0166667	210908	1	8	15	NS018	13.062011	1	08-sep-2021 10:01:56	3411	11323.395	0	.58333333	1	1	E01	3801.9181	939744.87	0	0	1.567e+09	7651.3821	18585.18	3784.3197	1196259.2	0	0	1.471e+09	7182.9341	16659.199	3777.7506	983469.24	0	0	1.578e+09	7706.4748	18467.058	3790.1633	1185612.2	0	0	1.474e+09	7195.206	16656.791	9/8/2021 12:01	3801.9181	939744.87	1196259.2			AB	CD15	AGRP	1	0	0	2	1	8	-198.16351	5865.7849	-58648.054	-823.51852	-261.0684	-363539.05	-.76647079	-.76647079	-.42640697	.1066151	-1.1389668	-.8654489	-1.5669896	-1.0041313
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_E02	2.05	210908	1	8	16	NS019	14.325975	1	08-sep-2021 10:03:38	4216	395895.24	293	.61666667	2	2	E02	3642.52	977577.51	0	0	1.316e+09	6425.2729	15770.278	3657.9356	1187825.3	0	0	1.315e+09	6423.14	15106.639	3634.9543	1052196	0	0	1.332e+09	6505.172	15627.991	3661.1474	1181425.2	0	0	1.332e+09	6506.3026	15186.72	9/8/2021 12:03	3642.52	977577.51	1187825.3	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-357.56158	89713.033	9641.6482	-18.518519	-78.282053	-62609.409	-1.6268282	-1.6268282	-.08286075	1.4701932	-1.185426	.08286075	-.54524419	-.06779862
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_E03	2.1333333	210908	1	8	17	NS020	24.923831	1	08-sep-2021 10:08:31	3464	29632.858	38	.7	1	1	E03	3629.0132	1044151	0	0	1.292e+09	6306.7377	15363.201	3619.9077	1174038.1	0	0	1.266e+09	6183.8098	14807.606	3642.4503	1051029.7	0	0	1.288e+09	6290.3881	15334.444	3626.1937	1181395.3	0	0	1.283e+09	6264.5282	14895.608	9/8/2021 12:08	3629.0132	1044151	1174038.1	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-371.0684	157395.47	2355.697	-770.51852	-304.24446	-408752.89	-1.7229053	-1.7229053	.452452	2.5959142	-1.2869457	-.08286075	-1.4284821	-.86436505
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_E04	2.1666667	210908	1	8	18	NS021	13.256467	1	08-sep-2021 10:10:07	4348	307736.32	185	.73333333	2	2	E04	3839.378	923355.71	0	0	1.272e+09	6210.4627	15751.486	3888.0813	1256641.8	0	0	1.251e+09	6109.6593	14353.467	3855.6588	922368.77	0	0	1.272e+09	6213.0376	15757.018	3888.3774	1274526.4	0	0	1.270e+09	6202.1491	14384.796	9/8/2021 12:10	3839.378	923355.71	1256641.8	0	1	AB	CD15	AGRP	1	0	0	2	1	8	-160.70363	-26886.602	-16296.04	113.48148	-85.40073	-73860.339	-.61624043	-.61624043	-.70448293	-.58789351	-.58789351	-.3248653	-.39384742	.06779862
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_F01	2.2833333	210908	1	8	15	NS025	19.576289	1	08-sep-2021 10:17:55	4870	506186.85	407	.85	2	3	F01	4252.5993	1068076.8	0	0	1.768e+09	8632.5805	19619.723	4201.1178	1507653.2	0	0	1.665e+09	8131.4507	16515.543	4397.9768	1088443.6	0	0	1.818e+09	8878.7501	19833.837	4211.0263	1487824.7	0	0	1.636e+09	7985.9961	16327.073	9/8/2021 12:17	4252.5993	1068076.8	1507653.2	1	4	AB	CD15	AGRP	1	0	0	2	1	8	252.51768	-14478.537	35818.281	635.48148	145.9316	131324.41	.8654489	.8654489	.58789351	-.15431865	1.0948442	.40064808	.11315218	.65337661
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_F02	2.2666667	210908	1	8	16	NS024	11.409134	1	08-sep-2021 10:16:01	4692	608569.7	418	.83333333	2	3																																		1	4	AB	CD15	AGRP	1	0	0	2	1	8				457.48148	46.717947	150065.05							-.04517984	.44314942
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_F03	2.2166667	210908	1	8	17	NS023	13.256467	1	08-sep-2021 10:13:59	4301	198197.85	228	.78333333	2	2	F03	4252.3848	1053422.2	0	0	1.505e+09	7350.4348	17034.668	4193.6863	1440840.5	0	0	1.489e+09	7272.8702	15443.639	4219.3878	1109707.6	1	1	1.512e+09	7384.4925	16852.495	4205.5576	1441378.8	0	0	1.504e+09	7341.9518	15509.313	9/8/2021 12:14	4252.3848	1053422.2	1440840.5	0	1	AB	CD15	AGRP	1	0	0	2	1	8	252.30318	-38978.74	-30891.216	66.481481	-114.24446	-240187.9	.83155464	.83155464	.47880765	-.76647079	.61624043	-.47880765	-.41837129	0
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_F04	2.1833333	210908	1	8	18	NS022	14.812115	1	08-sep-2021 10:11:59	4260	474509.62	395	.75	2	2	F04	3667.9824	922129.52	1	8	1.319e+09	6440.7845	16070.505	3599.6216	1304343.9	0	0	1.351e+09	6596.0083	14498.273	3545.7918	953113.4	1	13	1.344e+09	6562.9666	16105.593	3621.0105	1291962.3	1	3	1.335e+09	6516.4092	14434.482	9/8/2021 12:12	3667.9824	922129.52	1304343.9	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-332.09922	28429.28	113904.33	25.481482	124.59927	92912.955	-1.4701932	-1.4701932	-.73512372	.53255794	-.25090599	1.5437805	-.4682027	-.04517984
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_G01	2.3166667	210908	1	8	15	NS026	14.714887	1	08-sep-2021 10:19:58	3640	275999.89	248	.88333333	2	2	G01	3687.2517	915819.09	0	0	1.245e+09	6078.8053	15412.731	3667.7337	1255744.6	0	0	1.261e+09	6155.4174	14173.428	3876.0631	926137.08	0	0	1.245e+09	6080.9805	15384.4	3659.2844	1244589.2	0	0	1.222e+09	5965.395	13965.634	9/8/2021 12:20	3687.2517	915819.09	1255744.6	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-312.82991	19767.558	56030.134	-594.51852	-13.068399	-98862.554	-1.3430824	-1.3430824	-.8654489	.40064808	-.61624043	.70448293	-1.3129815	-.68159434
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_G03	2.3833333	210908	1	8	17	NS027	12.867555	1	08-sep-2021 10:23:27	4640	746222.31	871	.95	3	3	G03	3916.0069	1091075.4	0	0	1.739e+09	8489.4456	19169.387	3921.4293	1356143.2	0	0	1.720e+09	8397.2222	17935.69	3918.595	1131719.4	0	0	1.755e+09	8568.1855	19124.118	3932.1263	1344748.5	0	0	1.726e+09	8427.9144	17986.009	9/8/2021 12:23	3916.0069	1091075.4	1356143.2	0	1	AB	CD15	AGRP	1	0	0	2	1	8	-84.074742	109642.93	46321.295	405.48148	528.75554	307836.57	-.22657438	-.22657438	.83155464	1.8381674	.13042977	.56001135	-.09045214	.41837129
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_G04	2.4166667	210908	1	8	18	NS028	10.242397	1	08-sep-2021 10:25:31	2789	26711.635	29	.98333333	1	1	G04	4099.3781	926705.32	0	0	1.240e+09	6056.4492	15110.831	3987.6789	1207145.4	0	0	1.163e+09	5678.7902	13283.708	4013.4254	899938.35	0	0	1.221e+09	5963.3394	15131.429	3972.8163	1180946.7	0	0	1.117e+09	5451.9187	12999.846	9/8/2021 12:25	4099.3781	926705.32	1207145.4	1	4	AB	CD15	AGRP	1	0	0	2	1	8	99.296445	-109309	-190939.1	-1445.5185	-241.40073	-354885.03	.53255794	.53255794	-.61624043	-1.8381674	-.93642074	-2.1930762	-2.6117121	-1.8587466
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_H01	2.5166667	210908	1	8	15	NS030	21.03471	1	08-sep-2021 10:31:50	4900	565295.08	556	1.0833333	2	3	H01	4413.8538	1117752.7	0	0	1.744e+09	8513.4116	19080.391	4283.955	1552065.4	0	0	1.589e+09	7760.2937	16081.107	4432.5256	1129416.5	0	0	1.768e+09	8633.7135	19182.452	4309.4999	1542614.7	0	0	1.578e+09	7705.6655	16013.725	9/8/2021 12:31	4413.8538	1117752.7	1552065.4			AB	CD15	AGRP	1	0	0	2	1	8	413.77222	-17999.254	2613.3906	665.48148	294.9316	190432.64	1.4038035	1.4038035	1.0124546	-.30003436	1.2869457	-.05915307	.15873981	.7697614
AB_CD15_08dpf_VAST02_plate01_AGRP_210908_H04	2.45	210908	1	8	18	NS029	11.506362	1	08-sep-2021 10:27:18	3869	30724.653	33	1.0166667	1	1	H04	3856.8687	966302.49	0	0	1.393e+09	6803.39	16586.126	3760.8542	1263520.5	0	0	1.348e+09	6581.6546	14922.978	3845.4063	967678.22	0	0	1.391e+09	6790.1881	16549.145	3751.6263	1282182.6	0	0	1.377e+09	6724.1807	15063.147	9/8/2021 12:27	3856.8687	966302.49	1263520.5	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-143.21297	10290.142	-17836.208	-365.51852	-237.40073	-350872.01	-.47880765	-.47880765	-.17829594	.20237619	-.53255794	-.37515234	-1.0819398	-.39384742
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_A01	2.9333333	210908	2	8	15	NS031		2	08-sep-2021 10:56:41	3198	13260.728	10	3.335e-13	1	1	A01	3951.697	951199.34	0	0	1.249e+09	6097.8319	15251.012	3869.4836	1198083.5	0	0	1.156e+09	5645.5207	13509.647	4135.4202	932567.14	0	0	1.235e+09	6027.9908	15196.485	3873.1261	1188842.2	0	0	1.138e+09	5555.1152	13455.299	9/8/2021 12:56	3951.697	951199.34	1198083.5	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-48.384665	-32090.627	-128917.21	-1428.5312	-530.87593	-558691.94	-.05915307	-.05915307	-.27538708	-.67448975	-1.0948442	-1.3430824	-1.8587466	-1.7444475
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_A02	2.9666667	210908	2	8	16	NS032	13.377268	2	08-sep-2021 10:58:36	4800	1219449.9	1370	.03333333	3	4	A02	3806.5014	913815.31	0	0	1.256e+09	6133.9416	15642.462	3717.9336	1297614.7	0	0	1.312e+09	6408.3704	14741.918	3864.9015	931011.96	1	3	1.291e+09	6303.9698	15890.168	3757.1308	1285442.5	0	0	1.273e+09	6215.5889	14519.715	9/8/2021 12:58	3806.5014	913815.31	1297614.7	0	1	AB	CD15	AGRP	1	0	0	2	1	8	-193.58019	-28145.361	40501.434	173.46875	718.91042	563855.04	-.73512372	-.73512372	-.9737339	-.61624043	-.3248653	.47880765	.06779862	.18165198
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_A03	3	210908	2	8	17	NS033	11.222135	2	08-sep-2021 11:00:13	3960	370097.72	531	.06666667	2	2	A03	3573.371	880379.03	0	0	1.265e+09	6176.227	15969.248	3681.5047	1223414.9	0	0	1.273e+09	6215.0498	14566.451	3616.0391	874547.12	0	0	1.252e+09	6113.3648	15867.982	3675.4923	1238697.5	0	0	1.282e+09	6259.9549	14579.536	9/8/2021 1:00	3573.371	880379.03	1223414.9	0	1	AB	CD15	AGRP	1	0	0	2	1	8	-426.71065	11979.443	78514.975	-666.53125	-91.051994	-265378.25	-2.1930762	-2.1930762	-1.4038035	.27538708	-.8654489	.9737339	-.89765526	-.71036555
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_A04	3.0166667	210908	2	8	18	NS034	14.347078	2	08-sep-2021 11:01:52	4561	1255266.1	955	.08333333	3	4	A04	3699.8226	933583.98	0	0	1.310e+09	6394.125	16101.847	3674.239	1301353.1	0	0	1.312e+09	6407.698	14792.397	3779.4602	944051.51	0	0	1.329e+09	6488.1114	16205.345	3669.6779	1293427.7	0	0	1.303e+09	6361.6797	14747.424	9/8/2021 1:01	3699.8226	933583.98	1301353.1	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-300.25904	29379.917	95587.881	-65.53125	404.79174	676579.2	-1.2345954	-1.2345954	-.56001135	.58789351	-.30003436	1.2869457	-.20465992	-.09045214
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_B01	3.2	210908	2	8	15	XX001		2	08-sep-2021 11:12:39	5108	576968.12	631	.26666667	2	3	B01	3786.2159	918839.72	0	0	1.292e+09	6310.2564	16329.733	3827.1757	1286429.4	0	0	1.257e+09	6138.8062	14734.578	3888.9311	915639.65	0	0	1.287e+09	6285.7425	16297.112	3839.1248	1297106.3	0	0	1.274e+09	6219.9642	14791.003	9/8/2021 1:12	3786.2159	918839.72	1286429.4	0	1	AB	CD15	AGRP	1	0	0	2	1	8	-213.86571	-9859.3328	39080.22	481.46875	90.124071	5015.4505	-.8654489	-.8654489	-.83155464	-.05915307	-.40064808	.42640697	.39384742	.4935534
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_B02	3.1666667	210908	2	8	16	NS038	14.023808	2	08-sep-2021 11:10:59	4464	36036.276	51	.23333333	1	1	B02	3965.0286	954339.6	0	0	1.273e+09	6217.225	15532.076	3901.178	1318370.4	0	0	1.259e+09	6146.8285	13973.367	4106.8237	969801.64	0	0	1.303e+09	6364.5198	15634.869	3926.6996	1314183.3	0	0	1.257e+09	6136.2015	13986.714	9/8/2021 1:11	3965.0286	954339.6	1318370.4			AB	CD15	AGRP	1	0	0	2	1	8	-35.053067	-39917.938	-15047.279	-162.53125	-600.08958	-619558.6	.01182399	.01182399	-.25090599	-.83155464	-.15431865	-.30003436	-.32161055	-.18165198
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_B03	3.15	210908	2	8	17	NS037	17.256507	2	08-sep-2021 11:09:18	5953	1537988.8	2008	.21666667	4	4	B03	3932.2176	1134530.6	1	9	1.681e+09	8210.1894	18231.521	3968.0144	1516146.9	0	0	1.653e+09	8068.9732	16661.91	3998.4978	1157559.2	1	12	1.691e+09	8255.1693	18194.894	3960.2247	1506367.2	1	10	1.628e+09	7949.7869	16540.714	9/8/2021 1:09	3932.2176	1134530.6	1516146.9			AB	CD15	AGRP	1	0	0	2	1	8	-67.864025	147750.34	198522.21	1326.4687	1385.948	902512.79	-.15431865	-.15431865	1.2345954	2.1930762	1.1389668	2.5959142	1.1669186	1.7444475
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_B04	3.1166667	210908	2	8	18	NS036	5.8343028	2	08-sep-2021 11:07:13	4050	1127090.1	943	.18333333	3	3																																		1	4	AB	CD15	AGRP	1	0	0	2	1	8				-576.53125	392.79174	548403.22							-.83200627	-.62566982
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_B05	3.0833333	210908	2	8	16	NS035	17.364263	2	08-sep-2021 11:05:19	5555	1690734.6	1546	.15	4	4																																		0	1	AB	CD15	AGRP	1	0	0	2	1	8				928.46875	894.91042	1035139.8							.71036555	1.123415
AB_CD15_08dpf_VAST02_plate02_AGRP_210908_C01	3.25	210908	2	8	15	NS039	8.2049489	2	08-sep-2021 11:15:47	3214	10516.906	1	.31666667	1	1	C01	3855.6084	811861.57	0	0	1.111e+09	5423.4777	14703.385	3493.0632	1097834.5	0	0	1.046e+09	5106.5655	12868.466	3825.2997	818680.42	0	0	1.118e+09	5458.4369	14708.644	3489.581	1117334	0	0	1.060e+09	5175.1316	12876.396	9/8/2021 1:15	3855.6084	811861.57	1097834.5	1	4	AB	CD15	AGRP	1	0	0	2	1	8	-144.47324	-139729.52	-182915.63	-1412.5312	-539.87593	-561435.77	-.50550022	-.50550022	-2.5959142	-2.5959142	-1.9847723	-1.9847723	-1.7444475	-1.649237
