filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	bdnf_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_A07	12	24	1	0	0	1	0	AZ036	k5	11309	17021.487	356	0	.00558508	.99441493	5	23	2	3	4	4266.8903	1220095.2	0	0	1.723e+09	8415.0237	17935.945	4066.8164	1562562.9	0	0	1.746e+09	8523.06	16830.083	4201.1534	1223145.8	0	0	1.724e+09	8415.6313	17968.345	4067.787	1556402	0	0	1.734e+09	8468.4317	16755.613	11/30/2021 11:21	4266.8903	1220095.2	1562562.9	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	299.43605	36438.707	19324.109	4169.3333	-54.166667	1786.0552	.89943491	.89943491	1.1189584	.7164975	1.1189584	.26699413	1.9807524	1.9807524
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_B06	12	25	.04540059	.95459941	1	0	1	AZ029	k5	10529	25184.516	856	0	.00014145	.9998585	5	26	2	4	4																																	5	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8				3389.3333	445.83333	9949.084							.96742157	.96742157
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_B08	12	25	1	0	0	1	0	AZ045	k5	7109	9392.3333	288	0	.18321648	.81678355	5	28	2	1	2	3692.4431	971835.33	0	0	1.366e+09	6671.2333	16172.76	3531.1571	1210883.8	0	0	1.424e+09	6955.0366	15457.691	3704.4797	926854.86	0	0	1.333e+09	6510.1201	16150.624	3546.6014	1209448.2	0	0	1.415e+09	6909.7504	15411.533	11/30/2021 11:21	3692.4431	971835.33	1210883.8	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-275.01114	73850.297	16554.436	-30.666667	-122.16667	-5843.0988	-1.1189584	-1.1189584	-.26699413	1.4121876	-.55492294	.13231285	0	0
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_C06	12	24	.97611062	.02388938	0	1	0	AZ030	k5	5009	27204.531	590	0	.00035967	.99964035	5	29	2	4	4	3905.3347	961696.78	0	0	1.326e+09	6472.2785	15805.657	3839.9388	1272193.6	0	0	1.364e+09	6661.7567	14512.444	3889.5271	981106.57	0	0	1.335e+09	6520.6625	15774.695	3828.7851	1276380.6	0	0	1.359e+09	6635.3241	14476.732	11/30/2021 11:21	3905.3347	961696.78	1272193.6	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-62.119628	-42158.791	-35645.079	-2130.6667	179.83333	11969.099	-.26699413	-.26699413	-.40672425	-.7164975	-.26699413	-.7164975	-.79163861	-.96742157
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_C07	12	24	1	0	0	1	0	AZ038	k5	8435	8947.8886	163	0	.00059498	.99940503	5	30	2	1	2	3918.8354	1064996.3	0	0	1.520e+09	7422.466	17154.649	3944.4854	1378184.8	0	0	1.577e+09	7701.9513	16155.115	3974.1674	1075882.6	0	0	1.527e+09	7458.1561	17153.524	3943.9395	1380996.1	0	0	1.576e+09	7695.1056	16125.592	11/30/2021 11:21	3918.8354	1064996.3	1378184.8	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-48.618857	54426.862	61556.11	1295.3333	-247.16667	-6287.5434	.26699413	.26699413	.26699413	.89943491	.26699413	1.9379315	.63748416	.63748416
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_D05	12	25	1	0	0	1	0	AZ023	k5	10843	16868.562	381	0	.0014541	.99854589	5	32	2	3	4																																	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8				3703.3333	-29.166667	1633.1303							1.4652338	1.1797611
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_D08	12	24	1	0	0	1	0	AZ047	k5	536	89.077869	0	0	.00178959	.99821043	5	35	2	1	1	3888.835	996448.97	0	0	1.368e+09	6679.2494	16061.056	3904.8751	1312269.3	0	0	1.409e+09	6878.2116	14740.39	4036.5636	1001293.9	0	0	1.390e+09	6784.7195	16219.451	3889.035	1306646.7	0	0	1.389e+09	6783.6761	14640.011	11/30/2021 11:21	3888.835	996448.97	1312269.3	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-78.619278	798.64999	15173.125	-6603.6667	-410.16667	-15146.354	-.40672425	-.40672425	.13231285	.26699413	0	0	-1.9807524	-1.9807524
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_G06	12	24	1	0	0	1	0	AZ034	k5	5072	12968.41	448	0	.00029701	.99970299	5	43	2	2	3	3671.0021	879780.88	0	0	1.182e+09	5771.7868	14940.517	3638.5316	1210076.3	0	0	1.263e+09	6166.9123	14065.389	3774.4519	905381.47	0	0	1.200e+09	5858.2701	14957.83	3611.3797	1204064.9	0	0	1.251e+09	6110.2669	14037.343	11/30/2021 11:21	3671.0021	879780.88	1210076.3	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-296.45223	-7541.5362	54805.847	-2067.6667	37.833333	-2267.0216	-1.4121876	-1.4121876	-1.4121876	.13231285	-.7164975	1.4121876	-.63748416	-.79163861
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_G07	12	24	1	0	0	1	0	AZ042	k5	4813	10193.274	281	0	.00654559	.99345446	5	44	2	1	3	3796.451	923535.16	0	0	1.256e+09	6130.5113	15334.633	3666.2208	1141947.6	0	0	1.271e+09	6205.7475	14275.214	3802.5159	926884.77	0	0	1.241e+09	6059.0752	15180.906	3654.1728	1147271.1	0	0	1.269e+09	6195.6546	14242.015	11/30/2021 11:21	3796.451	923535.16	1141947.6	1	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	-171.00329	-26172.778	-94999.556	-2326.6667	-129.16667	-5042.1579	-.7164975	-.7164975	-.89943491	-.40672425	-1.4121876	-1.9379315	-1.1797611	-1.1797611
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_H05	12	25	.0633565	.9366435	1	0	1	AZ027	k5	6375	19837.015	511	0	.00853879	.99146128	5	45	2	3	4	4046.8898	1095501.7	0	0	1.553e+09	7582.166	17150.864	3971.8188	1472901	0	0	1.595e+09	7786.7251	15498.938	4076.512	1106328.1	0	0	1.556e+09	7595.5946	17100.786	3965.9336	1484774.2	0	0	1.608e+09	7853.0201	15551.391	11/30/2021 11:21	4046.8898	1095501.7	1472901	5	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	79.435494	21251.052	47800.095	-764.66667	100.83333	4601.5834	.55492294	.55492294	.7164975	.55492294	.7164975	.7164975	-.11964811	-.11964811
ABs_CD15_08dpf_vast01_plate01_bdnf_210630_1300_W_H06	12	25	.06034561	.93965439	1	0	1	AZ035	k5	7358	13422.355	387	0	.00188378	.99811625	5	46	2	2	3	4058.4352	1067059.9	0	0	1.595e+09	7786.3752	17838.221	4042.3534	1456033.3	0	0	1.591e+09	7770.5099	15868.994	4091.3414	1078544.3	0	0	1.591e+09	7766.9626	17679.969	4031.0957	1444459.2	0	0	1.573e+09	7683.099	15777.301	11/30/2021 11:21	4058.4352	1067059.9	1456033.3	5	ABs	CD15	bdnf	210630	1	0	0	1	1	1	8	90.980955	-12932.256	23415.452	218.33333	-23.166667	-1813.077	.7164975	.7164975	.40672425	0	.55492294	.40672425	.11964811	.11964811
