index	ldl	gluc	tc	tg	freeze_dried	pos_bio	Löpnr	batch_bio	protein	filename	batch	tank	line	diet	Exp	date	filename9	filename10	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	tod	early_nwt	early_dich	late_nwt	late_dich	sec16b_dich	late_wt	late_inframe	late_frameshift	late_Area_total	late_wt_call	early_wt	early_inframe	early_frameshift	early_Area_total	early_wt_call	gene	qRNA	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	LocalName	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	PostCheckValid	LiverArea	NrofSpots	bld	bodyfat	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	Border_size_length	dorsal_area	lateral_area	Border_size_lat_area	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrLipids_Res1	LiverRefinedArea_Res1	NrLipids_Res2	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrLipids	intLiverRefinedArea	intldl	inttg	inttc	intgluc
AN235	26.529041	13.199195	37.976421	121.52455	0	39	235	46	22.110879	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_e03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	e03	1	0	0	1	2	0	10	1	1	1	.9234618	1	1	.07653818	.25463307	.66882879	21584	1	0	.2748931	.7251069	1637	1	SEC16B	3																																																															-.4775752	23.55886	.2179052	-4.727009	-2.345341	17.13263	-.6349772	-6.225218																																	-.1094816	.5229299	-.0288527	.4842547
AN243	44.215068	13.919151	40.508182	78.484604	0	47	243	46	10.808822	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_e04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	e04	1	0	0	1	2	0	10	1	1	1	1	1	1	0	.61689794	.38310209	34667	0	0	.36555493	.63444507	5307	1	SEC16B	3																																																															2.204767	-19.28966	.8901467	12.92663	3.336492	-13.61566	1.713538	13.54196																																	1.563442	-.4155363	.115652	.5843656
AN236	26.529041	18.958844	35.44466	111.3975	0	40	236	46	18.374662	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_f03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	f03	1	0	0	1	2	0	10	1	0	0	0	0	0	1	0	0	25199	1	1	0	0	434	1	SEC16B	1																																																															-2.990514	13.45574	5.97159	-4.731058	-3.823613	11.09386	5.673853	-5.499117																																	-.1094816	.2959563	-.1902607	1.521218
AN244	46.425821	12.95921	50.635228	96.206933	0	48	244	46	16.599959	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_f04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	f04	1	0	0	1	2	0	10	1	.6527272		1	1	1	0	.36824942	.63175058	25757	0	.34727273	.65272727	0	550	1	SEC16B	3																																																															12.35063	-1.5434	-.075759	15.13333	11.8118	-2.268788	-.1144032	14.56816																																	1.710467	-.0802211	.6805383	.4307273
AN237	26.529041	16.07902	35.44466	103.80222	0	41	237	46	18.094446	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_g03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	g03	1	0	0	1	2	0	10	1	1	1	1	1	1	0	.7158097	.28419027	34308	0	0	0	1	639	1	SEC16B	3																																																															-2.971692	5.884382	3.085801	-4.735106	-3.751431	3.791182	2.829134	-5.466097																																	-.1094816	.0834373	-.1902607	.9986821
AN245	29.845171	17.278947	53.166989	189.88211	0	49	245	46	10.715417	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_g04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	g04	1	0	0	1	2	0	10	1	1	1	.8632773	1	1	.13672273	.23946653	.62381071	23544	1	0	.24652778	.75347222	1728	1	SEC16B	3																																																															14.90122	92.1557	4.238013	-1.451366	16.00705	97.85413	5.074075	-.8555549																																	.2599896	1.711675	.8388838	1.245847
AN238	26.529041	11.759283	35.44466	88.611649	0	42	238	46		InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_h03	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	h03	1	0	0	1	2	0	10	1	.4303371										.56966292	.0505618	.37977528	3560	1	SEC16B																																																																-2.952869	-9.282257	-1.2399	-4.739155																																					-.1094816	-.2066066	-.1902607	.1809456
AN246	25.423664	2.8798244	22.785853	17.72233	0	1	246	47	18.00104	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate02_sec16b_200817_0900_h04	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	h04	1	0	0	1	2	0	10	1	1	1	1	1	1	0	.26361859	.73638141	38844	0	0	.21463654	.78536346	2036	1	SEC16B	3																																																															-13.10692	-65.83772	-9.634783	-7.923635	-13.22379	-69.72772	-10.43214	-7.648591																																	-.269975	-1.427441	-.9742684	-1.993984
AN247	18.791404	11.279312	27.849375	53.166989	0	2	247	47		InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_a05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	a05	1	0	0	1	3	0	10	1	.8355018	1	.7494316	1	1	.25056836	0	.74943161	20673	1	.16449814	0	.83550186	1076	1	SEC16B	3																																																															-8.02457	-30.36913	-1.241259	-14.55994																																					-1.104836	-.7985482	-.6525189	.0739808
AN255	45.320444	14.879093	45.571705	106.33398	0	10	255	47	29.116286	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_a06	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	a06	1	0	0	1	3	0	10	1	1	1	1	1	1	0	.38679245	.61320752	15900	0	0	.65217391	.34782609	322	1	SEC16B	3																																																															9.84834	22.98928	2.310807	11.93671	6.339524	6.539877	-.145427	9.810506																																	1.632548	.1674606	.4120444	.7279133
AN248	37.582807	12.479239	35.44466	81.016365	0	3	248	47	12.583525	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_b05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	b05	1	0	0	1	3	0	10	1	.0934403	0	0	0	0	1	0	0	22005	1	.9065597	0	.0934403	2119	1	SEC16B	1																																																															-.4104632	-2.495831	-.0472969	4.227411	.9585192	-.5140211	-.0400249	5.550652																																	1.025498	-.3636592	-.1902607	.3203303
AN256	38.688184	8.1595025	37.976421	70.889319	0	11	256	47		InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_b06	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	b06	1	0	0	1	3	0	10	1	.1215388	0	0	0	0	1	0	0	22862	1	.87846116	0	.12153884	4081	1	SEC16B	1																																																															2.271879	-12.43145	-4.414748	5.300398																																					1.128819	-.5155938	-.0288527	-.4842547
AN249	24.318287	11.759283	40.508182	121.52455	0	4	249	47	10.528606	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_c05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	c05	1	0	0	1	3	0	10	1	.0752287	0	0	0	0	1	0	0	24233	1	.92477126	0	.07522874	2951	1	SEC16B	1																																																															4.671882	38.03628	-.7732174	-9.041158	6.598138	42.23589	-.4608904	-7.324943																																	-.4307273	.5229299	.115652	.1809456
AN250	25.423664	16.319005	35.44466	106.33398	0	5	250	47	18.748284	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_d05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	d05	1	0	0	1	3	0	10	1	.8787682	1	1	1	1	0	.22583912	.77416086	27648	0	.12123177	.60421394	.2745543	3085	1	SEC16B	3																																																															-.3728181	22.86964	3.78054	-7.93983	-.806686	18.00264	2.86959	-7.891151																																	-.269975	.1674606	-.1902607	1.053073
AN251	51.952704	16.319005	45.571705	108.86574	0	6	251	47	23.792177	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_e05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	e05	1	0	0	1	3	0	10	1	.9301937	1	.9124281	1	1	.0875719	.09362701	.81880111	13212	1	.06980636	.35763806	.57255558	8366	1	SEC16B	3																																																															9.77305	25.42533	3.774576	18.58516	7.880799	14.97962	2.112742	17.60319																																	2.160044	.2394693	.4120444	1.053073
AN252	33.161301	13.919151	40.508182	131.65159	0	7	252	47	21.08342	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_f05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	f05	1	0	0	1	3	0	10	1	.1395144	0	0	0	0	1	0	0	23453	1	.86048557	0	.13951443	5684	1	SEC16B	1																																																															4.72835	48.23511	1.368758	-.2102903	3.579025	40.72531	.1092367	-.6681646																																	.5958401	.7467028	.115652	.5843656
AN253	38.688184	10.079385	30.381137	45.571705	0	8	253	47	19.402122	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_g05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	g05	1	0	0	1	3	0	10	1	1	1			1						0	.57921245	.42078755	2184	1	SEC16B	3																																																															-5.379873	-37.82085	-2.476972	5.312544	-6.078012	-43.52319	-3.487014	5.172717																																	1.128819	-.969129	-.5119362	-.1451209
AN254	33.161301	8.6394733	27.849375	53.166989	0	9	254	47	16.973581	InsH2Bfabp_CD15_10dpf_lipids_tank01_plate03_sec16b_200817_0900_h05	19	80	insH2Bfabp	CD15	SEC16B	200817	0900	h05	1	0	0	1	3	0	10	1	.5824119		.8067791	1	1	.19322091	.08064971	.72612935	17731	1	.41758807	.17562355	.40678838	3889	1	SEC16B	3																																																															-7.892812	-30.20163	-3.922849	-.2183878	-7.927589	-33.27583	-4.57226	.1096876																																	.5958401	-.7985482	-.6525189	-.3887841
AN257	22.107534	11.519298	27.849375	60.762274	0	12	257	47	14.358229	InsH2Bfabp_CD15_10dpf_lipids_tank02_plate04_sec16b_200817_0900_a07	19	81	insH2Bfabp	CD15	SEC16B	200817	0900	a07	1	0	0	1	4	0	10	1	1	1	.9154844	1	1	.08451558	.25676003	.65872437	16494	1	0	.11338661	.88661339	2002	1	SEC16B	3																																																															-6.108771	-24.59222	-2.276958	-6.148591	-4.147762	-20.64165	-1.652758	-5.649201																																	-.6785297	-.688642	-.6525189	.1289011
AN265	43.109691	11.039327	25.317614	45.571705	0	20	265	47	17.160391	InsH2Bfabp_CD15_10dpf_lipids_tank02_plate04_sec16b_200817_0900_a08	19	81	insH2Bfabp	CD15	SEC16B	200817	0900	a08	1	0	0	1	4	0	10	1	.1299847	0	.2061101			.79388988	.04484339	.16126671	25957	1	.87001534	0	.12998466	2608	1	SEC16B																																																																-8.489952	-39.59136	-2.804644	14.82118	-7.534244	-39.031	-2.602153	14.60559																																	1.462553	-.969129	-.829804	.009641
AN273	28.739794	17.758917	35.44466	88.611649	0	28	273	47	18.00104	InsH2Bfabp_CD15_10dpf_lipids_tank02_plate04_sec16b_200817_0900_a09	19	81	insH2Bfabp	CD15	SEC16B	200817	0900	a09	1	0	0	1	4	0	10	1	.1469575	0									.85304248	0	.14695752	5226	1	SEC16B																																																																1.787674	3.640014	3.867232	.4188897	2.295039	2.964467	3.939785	-.1183038																																	.1289011	-.2066066	-.1902607	1.342336
AN258	25.423664	15.599049	37.976421	75.952842	0	13	258	47	19.775743	InsH2Bfabp_CD15_10dpf_lipids_tank02_plate04_sec16b_200817_0900_b07	19	81	insH2Bfabp	CD15	SEC16B	200817	0900	b07	1	0	0	1	4	0	10	1	.9831453	1	1	1	1	0	.06720918	.93279082	20399	0	.01685468	.14731254	.83583278	7535	1	SEC16B	3																																																															4.037097	-9.377726	1.796829	-2.836509	4.433636	-11.4162	1.61457	-3.442698																																	-.269975	-.4542952	-.0288527	.8835798
AN266	34.266677	15.839034	45.571705	101.27046	0	21	266	47	25.193258	InsH2Bfabp_CD15_10dpf_lipids_tank02_plate04_sec16b_200817_0900_b08	19	81	insH2Bfabp	CD15	SEC16B	200817	0900	b08	1	0	0	1	4	0	10	1	.8374718	1	.5295594		1	.47044066	.17374942	.35580996	25508	1	.16252822	.668924	.16854778	1329	1	SEC16B	3																																																															11.78296	16.13132	1.989099	5.974114	10.43159	7.830236	.996101	4.128455																																	.7154047	.012822	.4120444	.9321054
